eps_pi,eps_y,pi,y,Epi_lead,y_lag,path_number
0,0,-6.818627545,0.22799748,0,0.086370536,3
0,0,-7.189502546,0.378857826,0,0.22799748,3
0,0,-7.587837303,0.539713311,0,0.378857826,3
0,0,-8.015603125,0.711374192,0,0.539713311,3
0,0,-8.47491772,0.894703352,0,0.711374192,3
0,0,-8.968055671,1.090620659,0,0.894703352,3
0,0,-9.497459689,1.300107603,0,1.090620659,3
0,0,-10.0657527,1.524212228,0,1.300107603,3
0,0,-10.67575086,1.764054398,0,1.524212228,3
0,0,-11.33047745,2.020831402,0,1.764054398,3
0,0,-12.03317792,2.295823953,0,2.020831402,3
0,0,-12.78733591,2.590402586,0,2.295823953,3
0,0,-13.59669057,2.906034498,0,2.590402586,3
0,0,-14.46525504,3.244290872,0,2.906034498,3
0,0,-15.39733641,3.606854708,0,3.244290872,3
0,0,-16.39755699,3.995529203,0,3.606854708,3
0,0,-17.47087732,4.412246732,0,3.995529203,3
0,0,-18.62262069,4.859078463,0,4.412246732,3
0,0,-19.85849959,5.338244656,0,4.859078463,3
0,0,-21.18464403,5.852125705,0,5.338244656,3
0,0,-22.60763191,6.403273968,0,5.852125705,3
0,0,-24.13452169,6.994426453,0,6.403273968,3
0,0,-25.77288738,7.62851841,0,6.994426453,3
0,0,-27.53085611,8.308697917,0,7.62851841,3
0,0,-29.41714843,9.038341509,0,8.308697917,3
0,0,-31.44112158,9.821070947,0,9.038341509,3
0,0,-33.61281593,10.6607712,0,9.821070947,3
0,0,-35.94300472,11.56160971,0,10.6607712,3
0,0,-38.44324759,12.52805714,0,11.56160971,3
0,0,-41.12594783,13.56490948,0,12.52805714,3
0,0,-44.00441401,14.67731191,0,13.56490948,3
0,0,-47.0929259,15.87078431,0,14.67731191,3
0,0,-50.40680538,17.15124867,0,15.87078431,3
0,0,-53.96249244,18.52505845,0,17.15124867,3
0,0,-57.7776267,19.99903013,0,18.52505845,3
0,0,-61.87113495,21.58047703,0,19.99903013,3
0,0,-66.26332506,23.27724559,0,21.58047703,3
0,0,-70.97598667,25.09775431,0,23.27724559,3
0,0,-76.03249935,27.0510355,0,25.09775431,3
0,0,-81.45794856,29.14678014,0,27.0510355,3
0,0,-87.27925007,31.39538589,0,29.14678014,3
0,0,-93.52528354,33.80800876,0,31.39538589,3
0,0,-100.2270358,36.3966184,0,33.80800876,3
0,0,-107.4177544,39.1740575,0,36.3966184,3
0,0,-115.1331129,42.15410552,0,39.1740575,3
0,0,-123.4113876,45.35154703,0,42.15410552,3
0,0,-132.2936473,48.78224511,0,45.35154703,3
0,0,-141.8239574,52.46321996,0,48.78224511,3
0,0,-152.0495983,56.41273344,0,52.46321996,3
0,0,-163.0213,60.6503796,0,56.41273344,3
0,0,-174.7934937,65.19718193,0,60.6503796,3
0,0,-187.4245819,70.07569763,0,65.19718193,3
0,0,-200.9772282,75.31012954,0,70.07569763,3
0,0,-215.518668,80.9264462,0,75.31012954,3
0,0,-231.1210425,86.95251072,0,80.9264462,3
0,0,-247.8617558,93.41821893,0,86.95251072,3
0,0,-265.8238597,100.3556478,0,93.41821893,3
0,0,-285.0964654,107.7992145,0,100.3556478,3
0,0,-305.7751854,115.7858472,0,107.7992145,3
0,0,-327.9626081,124.3551681,0,115.7858472,3
0,0,-351.7688069,133.5496905,0,124.3551681,3
0,0,-377.3118857,143.4150289,0,133.5496905,3
0,0,2.8,3.5,0,NaN,4
0,0,2.763157895,3.332313739,0,3.5,4
0,0,2.733202324,3.176539523,0,3.332313739,4
0,0,2.709868787,3.03161228,0,3.176539523,4
0,0,2.692934919,2.896544165,0,3.03161228,4
0,0,2.682218643,2.770417776,0,2.896544165,4
0,0,2.677576583,2.652379887,0,2.770417776,4
0,0,2.678902725,2.541635618,0,2.652379887,4
0,0,2.68612731,2.437443042,0,2.541635618,4
0,0,2.699215956,2.339108153,0,2.437443042,4
0,0,2.718168998,2.245980194,0,2.339108153,4
0,0,2.74302104,2.157447287,0,2.245980194,4
0,0,2.773840712,2.072932356,0,2.157447287,4
0,0,2.810730625,1.991889302,0,2.072932356,4
0,0,2.853827537,1.913799407,0,1.991889302,4
0,0,2.903302701,1.838167949,0,1.913799407,4
0,0,2.959362425,1.764520998,0,1.838167949,4
0,0,3.022248816,1.692402376,0,1.764520998,4
0,0,3.092240734,1.621370764,0,1.692402376,4
0,0,3.169654943,1.550996924,0,1.621370764,4
0,0,3.25484747,1.480861037,0,1.550996924,4
0,0,3.348215177,1.41055013,0,1.480861037,4
0,0,3.450197548,1.339655566,0,1.41055013,4
0,0,3.561278705,1.267770606,0,1.339655566,4
0,0,3.681989658,1.194488007,0,1.267770606,4
0,0,3.812910797,1.119397645,0,1.194488007,4
0,0,3.954674647,1.042084156,0,1.119397645,4
0,0,4.107968884,0.962124581,0,1.042084156,4
0,0,4.273539637,0.879085989,0,0.962124581,4
0,0,4.452195092,0.792523075,0,0.879085989,4
0,0,4.644809408,0.701975724,0,0.792523075,4
0,0,4.852326971,0.606966508,0,0.701975724,4
0,0,5.075766995,0.506998125,0,0.606966508,4
0,0,5.316228515,0.40155075,0,0.506998125,4
0,0,5.574895765,0.290079286,0,0.40155075,4
0,0,5.853044001,0.172010512,0,0.290079286,4
0,0,6.152045764,0.046740096,0,0.172010512,4
0,0,6.473377641,-0.086370536,0,0.046740096,4
0,0,6.818627545,-0.22799748,0,-0.086370536,4
0,0,7.189502546,-0.378857826,0,-0.22799748,4
0,0,7.587837303,-0.539713311,0,-0.378857826,4
0,0,8.015603125,-0.711374192,0,-0.539713311,4
0,0,8.47491772,-0.894703352,0,-0.711374192,4
0,0,8.968055671,-1.090620659,0,-0.894703352,4
0,0,9.497459689,-1.300107603,0,-1.090620659,4
0,0,10.0657527,-1.524212228,0,-1.300107603,4
0,0,10.67575086,-1.764054398,0,-1.524212228,4
0,0,11.33047745,-2.020831402,0,-1.764054398,4
0,0,12.03317792,-2.295823953,0,-2.020831402,4
0,0,12.78733591,-2.590402586,0,-2.295823953,4
0,0,13.59669057,-2.906034498,0,-2.590402586,4
0,0,14.46525504,-3.244290872,0,-2.906034498,4
0,0,15.39733641,-3.606854708,0,-3.244290872,4
0,0,16.39755699,-3.995529203,0,-3.606854708,4
0,0,17.47087732,-4.412246732,0,-3.995529203,4
0,0,18.62262069,-4.859078463,0,-4.412246732,4
0,0,19.85849959,-5.338244656,0,-4.859078463,4
0,0,21.18464403,-5.852125705,0,-5.338244656,4
0,0,22.60763191,-6.403273968,0,-5.852125705,4
0,0,24.13452169,-6.994426453,0,-6.403273968,4
0,0,25.77288738,-7.62851841,0,-6.994426453,4
0,0,27.53085611,-8.308697917,0,-7.62851841,4
0,0,29.41714843,-9.038341509,0,-8.308697917,4
0,0,31.44112158,-9.821070947,0,-9.038341509,4
0,0,33.61281593,-10.6607712,0,-9.821070947,4
